Data_File	Data_File_Loc	Site	Latitude	Longitude	Nash	RMSE	Mu	Alpha	Theta	Beta	Drainage_Area_Km2	Mean_Elevation_m	Mean_Slope_P	Mean_Aspect	BFI_P	P_Clay	P_Sand	P_Silt	Biomass_tons	Stem_Count	UrbanKm2	AgroKm2	SwampsKm2	GrassKm2	PeatlandKm2	RockKm2	DeciduousKm2	OakPineKm2	BorealKm2	OpenWaterKm2	aug_mean_air_degC	aug_max_air_degC	aug_mean_precip_mm	feb_mean_air_degC	feb_max_air_degC	feb_mean_precip_mm
CT	37	241	41.24604	-73.43408	0.948	1.634	4.06E-04	22.01617	0.787	12.7	39.9843	167.55798	13.56709	35.967067	47.49715	6.162447	48.06638	45.77117	97897.55	156920	10.0278141	0.55357225	2.73789242	0	0	0.190114863	5.45143515	20.6520252	0	0.35724226	21.54008	27.0321	114.13806	-1.2262903	3.8037097	78.24
CT	41	753	41.20261	-73.43111	0.942	2.043	1.38E-04	26.65278	0.857	13.7	48.0303	156.73503	13.213219	36.582846	47.29355	6.059351	48.56006	45.38059	94711.41	186301	11.9435214	0.85087682	2.89139761	0.174875024	0	0.190114863	5.45169057	26.1184448	0	0.392064015	21.62097	27.13167	113.67889	-1.1323611	3.8947222	78.20625
CT	44	2481	41.2771	-73.3275	0.942	2.036	2.52E-04	26.93089	0.86	13.7	36.5445	165.17315	13.497949	123.029212	47.11397	5.590946	51.48937	42.91968	110695.12	162751	3.0080377	2.70877496	2.09296627	0	0	0.016516921	6.31874375	22.1496161	0	0.238303404	21.41566	27.05038	111.94547	-1.4342453	3.6735849	79.56509
CT	45	489	41.96593	-72.32775	0.946	1.273	1.41E-04	20.88905	0.704	8.3	33.4791	223.82451	8.284431	228.575242	54.46938	5.464131	51.48623	43.04964	91964.68	167292	2.2984061	1.52534612	3.97053146	0	0.03073509	0.060789079	14.87740329	10.2294227	0	0.500445663	20.21721	25.92615	110.07654	-3.0635577	2.3523077	79.36788
CT	48	1089	41.42111	-72.90222	0.96	1.607	2.87E-04	28.19315	0.822	13.6	66.9123	89.25014	10.295719	82.758319	49.32866	7.068652	44.94796	47.98338	77472.26	252381	23.4928504	1.53462625	2.24715257	0	0	0.219913431	14.95002665	24.2203611	0	0.246136171	21.69029	27.48371	106.538	-1.1388571	4.0431429	87.1461
CT	49	2757	42.02106	-72.25166	0.948	1.474	2.49E-03	22.99795	0.719	10.3	9.0576	298.71356	12.199018	227.156563	53.40144	5.530917	48.61473	45.85436	121465.55	60170	0.5872872	0.26120573	0.23259911	0	0	0	3.28729287	4.6645827	0	0.028606625	19.92393	25.15214	110.37429	-3.3328571	1.6764286	84.79
CT	50	2295	41.66152	-72.53649	0.962	1.254	3.64E-05	20.49109	0.709	12.7	7.5771	186.14105	12.356865	355.290694	51.38242	6.002528	48.22569	45.77178	112839.16	51751	0.3673738	0.09705819	0.31228899	0	0	0.056957834	1.25528596	5.4862569	0	0.003746106	20.91208	26.4475	104.3425	-1.6129167	3.1933333	79.41667
CT	52	47	41.41313	-73.2823	0.948	1.636	2.48E-04	26.60616	0.732	12.5	57.5172	156.64701	10.864901	32.036656	47.23269	5.59025	51.92403	42.48572	71746.5	192796	12.0572668	6.90177402	3.78373701	0	0	0.054403671	7.71612631	26.6352371	0	0.35102713	21.32848	27.13213	108.69708	-1.5527528	3.6725843	80.35809
CT	58	1130	41.77167	-72.85639	0.956	1.511	8.92E-01	25.76913	0.751	11.6	10.9386	91.51376	5.960945	113.372095	51.1784	5.275311	53.49304	41.23165	46759.77	25924	5.0742704	0.77331541	0.88220789	0	0	0.005789436	3.77300953	0.3958101	0	0.033629812	21.54222	27.50056	105.87722	-1.7361111	3.5644444	79.52389
CT	60	956	41.86764	-72.43411	0.955	1.707	5.99E-05	24.61168	0.855	12.5	43.479	210.12726	8.65473	275.476298	52.12613	6.362993	46.93412	46.70289	86976.68	220473	4.3591048	3.57446593	4.64627785	0	0	0.023753716	8.92679955	19.6741213	0	2.288700292	20.34132	25.89794	108.39191	-2.5650735	2.5076471	77.25294
CT	65	957	41.86657	-72.46483	0.902	1.111	8.79E+00	27.31732	0.671	17.9	50.067	197.45127	8.630843	279.078898	52.05173	6.580059	45.88287	47.53707	79930	232987	9.6582267	4.26860228	4.66696657	0	0	0.023753716	9.12942982	20.0240417	0	2.312794563	20.42175	26.01065	107.49481	-2.4924026	2.5988312	76.88831
CT	66	357	41.81814	-73.14407	0.903	2.203	8.00E-01	22.31786	0.771	7.99	83.7594	357.81115	12.76747	102.01529	48.1241	6.150342	48.05821	45.79145	116675.81	622642	5.1897186	6.24237428	2.66595016	0	0	0.159464908	50.19177124	16.8377234	0	2.453699219	19.76159	25.45733	114.12541	-3.7607778	1.449037	83.13681
CT	67	2266	41.7833	-72.92468	0.915	2.444	4.10E-05	25.98187	0.858	12.4	24.0624	237.17853	12.207729	51.940755	53.42191	4.896157	55.56931	39.53453	88903.83	125717	2.7282717	2.90612662	0.84372517	0	0.02596732	0.08760779	10.35908901	7.0603875	0	0.049976455	20.49129	26.444	112.33114	-2.7627143	2.6282857	85.068
