year,month,day,precip,tmax,tmin,wind,Date
1949,12,26,5.72,3.4,-5.45,7.2,26-12-1949
1949,12,27,8.93,11.95,0.01,10.19,27-12-1949
1949,12,28,1.35,11.23,-0.32,9.36,28-12-1949
1949,12,29,0,3.73,-7.7,11.3,29-12-1949
1949,12,30,0,-1.65,-12.64,14.42,30-12-1949
1949,12,31,0.5,1.23,-12.42,8.1,31-12-1949
1950,1,1,0.5,1.55,-7.35,3.31,1-1-1950
1950,1,2,1.92,0.93,-4.89,2.16,2-1-1950
1950,1,3,3,4.78,-2.94,8.54,3-1-1950
1950,1,4,0.35,11.77,3.25,12.69,4-1-1950
1950,1,5,3.12,11.04,1.93,6.89,5-1-1950
1950,1,6,26.45,5.69,-0.09,5.53,6-1-1950
1950,1,7,10.45,2.01,-7.17,10.59,7-1-1950
1950,1,8,0,-2.89,-17,13.61,8-1-1950
1950,1,9,5.05,-1.8,-14.51,8.82,9-1-1950
1950,1,10,17.85,0.22,-7.58,4.69,10-1-1950
1950,1,11,5.45,4.56,-4.34,13.31,11-1-1950
1950,1,12,0.6,0.39,-10.72,4.99,12-1-1950
1950,1,13,5.97,-0.35,-7.99,7.81,13-1-1950
1950,1,14,2.25,9.14,-2.42,12.5,14-1-1950
1950,1,15,2.5,5.06,-4.96,4.23,15-1-1950
1950,1,16,1.77,4.65,-2.81,7.24,16-1-1950
1950,1,17,1.73,2.54,-4.54,8.85,17-1-1950
1950,1,18,2.05,4.96,-5.25,7.86,18-1-1950
1950,1,19,0,2.03,-11.92,7.51,19-1-1950
1950,1,20,0.3,-6.12,-14.67,9.05,20-1-1950
1950,1,21,2.5,-6.34,-14.47,1.54,21-1-1950
1950,1,22,3.35,-3.65,-10.57,2.9,22-1-1950
1950,1,23,0.08,0.84,-5.35,4.9,23-1-1950
1950,1,24,12.15,2.7,-3.08,3.99,24-1-1950
1950,1,25,3.7,-0.05,-6.84,4.07,25-1-1950
1950,1,26,0.17,8.92,-4.67,10.44,26-1-1950
1950,1,27,0,6.79,-6.85,7.24,27-1-1950
1950,1,28,2.12,-0.24,-14.19,7.29,28-1-1950
1950,1,29,1.73,7.35,-5.66,8.83,29-1-1950
1950,1,30,4.47,7.23,-1.86,4.66,30-1-1950
1950,1,31,5.8,-1.12,-8.19,4.76,31-1-1950
1950,2,1,3.95,-1.99,-7.59,6.31,1-2-1950
1950,2,2,4.12,0.69,-4.36,3.33,2-2-1950
1950,2,3,0.98,1.5,-6.49,12.31,3-2-1950
1950,2,4,0,0.83,-9.3,9.62,4-2-1950
1950,2,5,0,0.06,-12.02,7.49,5-2-1950
1950,2,6,2.78,-1.31,-11.26,7.61,6-2-1950
1950,2,7,0.22,-1.06,-10.1,8.82,7-2-1950
1950,2,8,1.25,-3.67,-21.56,7.98,8-2-1950
1950,2,9,8.38,3.93,-12.22,10.42,9-2-1950
1950,2,10,2.83,5.27,-3.62,4.44,10-2-1950
1950,2,11,0.43,2.67,-1.96,4.35,11-2-1950
1950,2,12,0,4.6,-5.25,5.78,12-2-1950
1950,2,13,7.88,1.94,-5.71,5.76,13-2-1950
1950,2,14,29.77,-0.69,-5.79,12.91,14-2-1950
1950,2,15,17.08,-1.21,-5.99,6.25,15-2-1950
1950,2,16,1.67,2.03,-3.7,5.95,16-2-1950
1950,2,17,0.15,4.14,-3.51,4.86,17-2-1950
1950,2,18,0.2,3.43,-2.5,5.82,18-2-1950
1950,2,19,0.35,3.78,-6.36,6.63,19-2-1950
1950,2,20,0,-1.74,-19.5,17.26,20-2-1950
1950,2,21,1.95,-10.45,-22.87,11.74,21-2-1950
1950,2,22,14.5,-9.34,-16.28,2.21,22-2-1950
1950,2,23,6.12,-4.33,-12.5,7.07,23-2-1950
1950,2,24,0.12,2.48,-8.83,8.92,24-2-1950
1950,2,25,0,3.91,-10.77,13.11,25-2-1950
1950,2,26,0,-5.33,-20.65,8.84,26-2-1950
1950,2,27,0,-8.37,-21.78,13.83,27-2-1950
1950,2,28,2.35,-4.65,-22.26,6.19,28-2-1950
1950,3,1,1,0.74,-10.92,9,1-3-1950
1950,3,2,0,-4.59,-13.85,12.63,2-3-1950
1950,3,3,0,-9.17,-20.11,13.25,3-3-1950
1950,3,4,0,-6.02,-25.59,8.66,4-3-1950
1950,3,5,0,3.66,-16.89,7.79,5-3-1950
1950,3,6,0,5.73,-8.07,11.79,6-3-1950
1950,3,7,0,0.76,-17.67,4.27,7-3-1950
1950,3,8,18.5,6.21,-6.09,10.94,8-3-1950
1950,3,9,5.1,11.91,-9.31,13.61,9-3-1950
1950,3,10,0,-4.15,-11.86,14.97,10-3-1950
1950,3,11,1,-2.01,-12.06,3.51,11-3-1950
1950,3,12,0,3.9,-5.17,4.9,12-3-1950
1950,3,13,4.75,2.43,-5.06,4.85,13-3-1950
1950,3,14,1.67,-0.7,-7.34,10.97,14-3-1950
1950,3,15,0,2.88,-12.36,10.24,15-3-1950
1950,3,16,0,2.44,-10.36,6.59,16-3-1950
1950,3,17,4.57,2.84,-10.39,5.16,17-3-1950
1950,3,18,3.4,1.74,-6.24,12.84,18-3-1950
1950,3,19,0,2.23,-10.78,11.33,19-3-1950
1950,3,20,0,7.17,-10.24,3.14,20-3-1950
1950,3,21,3.67,5.75,-4.73,6.74,21-3-1950
1950,3,22,12.23,6.93,-7.24,8.28,22-3-1950
1950,3,23,15.12,5.71,-0.57,5.69,23-3-1950
1950,3,24,2.92,4.6,0.22,11.91,24-3-1950
1950,3,25,0,6.13,-1.39,6.21,25-3-1950
1950,3,26,0,9.29,-4.62,5.66,26-3-1950
1950,3,27,2.75,6.8,0.39,4.68,27-3-1950
1950,3,28,4.18,14.18,0.88,12.78,28-3-1950
1950,3,29,0.68,16.13,1.15,5.83,29-3-1950
1950,3,30,2.35,7.17,-3.76,11.31,30-3-1950
1950,3,31,0,6.26,-8.61,8.87,31-3-1950
1950,4,1,1.65,9.73,-7.4,2.85,1-4-1950
1950,4,2,2.53,11.42,1.87,5.99,2-4-1950
1950,4,3,4.05,11.59,-1.41,7.27,3-4-1950
1950,4,4,3.8,20.34,5.16,9.62,4-4-1950
1950,4,5,2.28,19.64,4.51,8.6,5-4-1950
1950,4,6,0.4,6.55,-1.6,10.22,6-4-1950
1950,4,7,0,6.19,-6.07,17.52,7-4-1950
1950,4,8,0,10.15,-3.94,12.46,8-4-1950
1950,4,9,0,8.56,-0.44,7.75,9-4-1950
1950,4,10,0,8.69,-5.2,8.88,10-4-1950
